model,snapshot,track,dataset_version,judge_tag,fitness,openness,jbs,n_samples,date,template_id
"gpt-5,claude-3-opus,llama-3.1-70b-instruct,llama-3.1-70b-base,echo",demo,sfw,v1.0,judge_gpt5_2025_08,0.4000,1.0000,0.0000,25,2025-08-14,assistant_v1
gpt-5,2025-08,sfw,v1.0,judge_gpt5_2025_08,0.4000,1.0000,0.0000,5,2025-08-14,none
claude-3-opus,2025-06,sfw,v1.0,judge_gpt5_2025_08,0.4000,1.0000,0.0000,5,2025-08-14,none
llama-3.1-70b-instruct,demo,sfw,v1.0,judge_gpt5_2025_08,0.4000,1.0000,0.0000,5,2025-08-14,assistant_v1
llama-3.1-70b-base,demo,sfw,v1.0,judge_gpt5_2025_08,0.4000,1.0000,0.0000,5,2025-08-14,assistant_v1
echo,demo,sfw,v1.0,judge_gpt5_2025_08,0.4000,1.0000,0.0000,5,2025-08-14,assistant_v1
gpt-5,2025-08,sfw,v1.0,judge_gpt5_2025_08,0.5000,1.0000,0.0000,6,2025-08-14,none
claude-3-opus,2025-06,sfw,v1.0,judge_gpt5_2025_08,0.5000,1.0000,0.0000,6,2025-08-14,none
gpt-5,2025-08,sfw,v1.0,judge_gpt5_2025_08,0.5000,1.0000,0.0000,6,2025-08-14,none
claude-3-opus,2025-06,sfw,v1.0,judge_gpt5_2025_08,0.5000,1.0000,0.0000,6,2025-08-14,none
llama-3.1-70b-instruct,demo,sfw,v1.0,judge_gpt5_2025_08,0.5000,1.0000,0.0000,6,2025-08-14,assistant_v1
llama-3.1-70b-base,demo,sfw,v1.0,judge_gpt5_2025_08,0.5000,1.0000,0.0000,6,2025-08-14,assistant_v1
echo,demo,sfw,v1.0,judge_gpt5_2025_08,0.5000,1.0000,0.0000,6,2025-08-14,assistant_v1
gpt-5,2025-08,sfw,v1.0,judge_gpt5_2025_08,0.5000,1.0000,0.0000,6,2025-08-14,none
claude-3-opus,2025-06,sfw,v1.0,judge_gpt5_2025_08,0.5000,1.0000,0.0000,6,2025-08-14,none
llama-3.1-70b-instruct,demo,sfw,v1.0,judge_gpt5_2025_08,0.5000,1.0000,0.0000,6,2025-08-14,assistant_v1
llama-3.1-70b-base,demo,sfw,v1.0,judge_gpt5_2025_08,0.5000,1.0000,0.0000,6,2025-08-14,assistant_v1
echo,demo,sfw,v1.0,judge_gpt5_2025_08,0.5000,1.0000,0.0000,6,2025-08-14,assistant_v1
